step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,mean_abs_yaw_error,done_count,no_nan_inf
195,0.9730030298233032,0.14799444377422333,0.9609375,0.17247557640075684,0,True
196,0.9713752865791321,0.1510220617055893,0.9609375,0.14820823073387146,0,True
197,0.9637150764465332,0.1462109088897705,0.9609375,0.15835237503051758,0,True
198,0.9634422659873962,0.14532160758972168,0.9609375,0.1553092747926712,0,True
199,0.9755359292030334,0.16174709796905518,0.96875,0.16274231672286987,0,True
200,0.9801356792449951,0.16160964965820312,0.96875,0.18255296349525452,0,True
201,0.9703764915466309,0.15305157005786896,0.96875,0.16624173521995544,0,True
202,0.9601316452026367,0.14064326882362366,0.96875,0.16518425941467285,0,True
203,0.9508726596832275,0.1500595659017563,0.96875,0.14561139047145844,0,True
204,0.9655609130859375,0.1637382209300995,0.96875,0.14046138525009155,0,True
205,0.9735107421875,0.16401618719100952,0.9765625,0.13980036973953247,0,True
206,0.9757096767425537,0.15729551017284393,0.9765625,0.15632304549217224,0,True
207,0.9657784104347229,0.15702873468399048,0.9765625,0.13922074437141418,0,True
208,0.9655231237411499,0.15575970709323883,0.9765625,0.1333351582288742,0,True
209,0.9767151474952698,0.1572243869304657,0.9765625,0.16613441705703735,0,True
210,0.9713653326034546,0.15163961052894592,0.9765625,0.1771947294473648,0,True
211,0.9604200720787048,0.14962279796600342,0.9765625,0.1739838868379593,0,True
212,0.9540565609931946,0.15057410299777985,0.9765625,0.16144514083862305,0,True
213,0.9485813975334167,0.15074022114276886,0.9765625,0.18309366703033447,0,True
214,0.9464379549026489,0.15896673500537872,0.9765625,0.17627188563346863,0,True
215,0.9625040888786316,0.1617991328239441,0.9765625,0.13337555527687073,0,True
216,0.9608569145202637,0.14931881427764893,0.9765625,0.14073048532009125,0,True
217,0.9633619785308838,0.14785784482955933,0.984375,0.13942308723926544,0,True
218,0.9668063521385193,0.15359359979629517,0.984375,0.1348327398300171,0,True
219,0.9721043705940247,0.15677466988563538,0.984375,0.1309254765510559,0,True
220,0.9728111624717712,0.16552762687206268,0.984375,0.13653531670570374,0,True
221,0.9926348924636841,0.16657611727714539,0.984375,0.14803746342658997,0,True
222,0.9814679622650146,0.14273938536643982,0.984375,0.16164717078208923,0,True
223,0.9528487324714661,0.14652498066425323,0.984375,0.1426175832748413,0,True
224,0.957646369934082,0.15472745895385742,0.984375,0.15091922879219055,0,True
225,0.9538255929946899,0.16819123923778534,0.984375,0.1696053445339203,0,True
226,0.966501772403717,0.17110148072242737,0.984375,0.16916993260383606,0,True
227,0.9534048438072205,0.16406720876693726,0.984375,0.1505400538444519,0,True
228,0.9632434248924255,0.1648416817188263,0.984375,0.16683094203472137,0,True
229,0.9527853727340698,0.16013909876346588,0.984375,0.1861633062362671,0,True
230,0.9535706043243408,0.15445908904075623,0.984375,0.176961287856102,0,True
231,0.9643592834472656,0.14600348472595215,0.984375,0.16855162382125854,0,True
232,0.978384256362915,0.1505585014820099,0.984375,0.16078130900859833,0,True
233,0.9753454327583313,0.15204331278800964,0.984375,0.14391431212425232,0,True
234,0.9728559255599976,0.15664023160934448,0.984375,0.144594207406044,0,True
235,0.9584215879440308,0.1546865999698639,0.984375,0.1256372332572937,0,True
236,0.9554128050804138,0.15770524740219116,0.984375,0.15489283204078674,0,True
237,0.963979959487915,0.15469709038734436,0.984375,0.1675240397453308,0,True
238,0.9620429277420044,0.1574961543083191,0.984375,0.15089385211467743,0,True
239,0.9679585695266724,0.16892294585704803,0.984375,0.1524076759815216,0,True
240,0.9725896716117859,0.1781848967075348,0.984375,0.14424699544906616,0,True
