source_root,velocity_mode,protocol,policy,alpha,selected_fault_joint_index,joint_name,mean_abs_vx_error_post_fault,p90_abs_vx_error_post_fault,torso_height_failure_rate,timeout_rate,post_fault_sample_count,post_fault_alive_sample_fraction,post_fault_done_sample_rate
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,1,front_right_leg,0.21998105933684842,0.47424671053886414,,,5636,0.997338538,0.00266146203
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,2,left_back_leg,0.39288424802275174,0.7831146717071533,,,7811,0.99859173,0.00140827039
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,3,right_back_leg,0.5306782942119566,1.056524109840393,,,6852,0.998394629,0.00160537069
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,4,front_left_foot,0.813415734820264,1.1338865041732789,,,6877,0.998545878,0.00145412244
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,5,front_right_foot,0.18148100839394013,0.3807400822639466,,,11348,0.998237575,0.0017624251
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,6,left_back_foot,0.26933368708569116,0.5156309485435484,,,9302,0.997849925,0.00215007525
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.25,7,right_back_foot,0.8555618336075753,2.7243898630142214,,,5762,0.997743839,0.00225616106
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,0,front_left_leg,0.1498923388798991,0.3126665115356445,,,7849,0.997197095,0.00280290483
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,1,front_right_leg,0.16847157156826234,0.3391825973987579,,,5914,0.997125465,0.002874535
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,2,left_back_leg,0.23262036483218082,0.6031546294689178,,,7454,0.998792595,0.00120740542
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,3,right_back_leg,0.40197402373619273,0.9044020295143128,,,6855,0.997957695,0.00204230489
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,4,front_left_foot,0.808993488913946,1.1174252271652223,,,6882,0.997820401,0.00217959895
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,5,front_right_foot,0.16937308386099242,0.37359080314636217,,,11372,0.998768906,0.00123109391
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,6,left_back_foot,0.27025766274315943,0.8084717273712159,,,9259,0.99891997,0.00108003024
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,0.5,7,right_back_foot,0.9015997049527359,2.935765409469605,,,6038,0.997846969,0.0021530308
